timestamp,temperature_c,temperature_f,humidity,soil_moisture,lux,ph,soil_moisture_1,soil_temp,conductivity,nitrogen,phosphorus,potassium,heater,water_pump,nutrients_pump,mister,white_light,LED_light,live_stream
2025-04-27T18:11:44.670016,24.4,75.92,41.0,45.94,33,5.85,13.4,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:11:45.978611,24.3,75.74000000000001,40.0,46.33,33,5.86,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:11:47.285245,24.1,75.38,40.0,46.33,33,5.85,13.3,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:11:48.593285,24.1,75.38,40.0,46.33,33,5.86,13.3,19.8,548,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:11:49.857306,24.7,76.46000000000001,40.0,46.33,33,5.86,13.3,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:11:51.130297,24.7,76.46000000000001,40.0,46.43,33,5.86,13.4,19.8,553,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:11:52.407504,24.2,75.56,40.0,46.43,33,5.84,13.4,19.8,546,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:11:53.668248,24.8,76.64,40.0,46.33,33,5.84,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:11:54.970279,24.7,76.46000000000001,40.0,46.33,33,5.88,13.3,19.8,547,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:11:56.224162,24.1,75.38,40.0,45.94,35,5.86,13.4,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:11:57.468792,24.3,75.74000000000001,40.0,45.94,35,5.86,13.4,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:11:58.772935,24.2,75.56,40.0,46.24,35,5.86,13.4,19.8,545,38,54,109,off,off,off,on,off,0,on
2025-04-27T18:12:00.039620,24.5,76.1,40.0,46.24,35,5.86,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:12:01.319219,24.5,76.1,40.0,45.85,35,5.88,13.4,19.8,550,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:12:02.611702,24.3,75.74000000000001,41.0,45.85,35,5.88,13.2,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:12:03.888442,24.3,75.74000000000001,41.0,46.24,38,5.88,13.3,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:12:05.213287,24.3,75.74000000000001,41.0,46.24,38,5.86,13.3,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:12:06.554217,24.5,76.1,40.0,46.14,39,5.88,13.3,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:12:07.857159,24.5,76.1,40.0,46.14,39,5.88,13.2,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:12:09.151411,24.5,76.1,40.0,45.85,38,5.9,13.4,19.8,550,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:12:10.458971,24.2,75.56,40.0,45.85,38,5.9,13.2,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:12:11.768556,24.2,75.56,40.0,45.94,39,5.91,13.4,19.8,549,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:12:13.085143,24.2,75.56,40.0,45.94,39,5.91,13.3,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:12:14.379116,24.5,76.1,41.0,45.75,38,5.92,13.4,19.8,545,38,54,109,off,off,off,on,off,0,on
2025-04-27T18:12:15.672814,24.0,75.2,41.0,45.75,38,5.92,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:12:16.965710,24.0,75.2,41.0,45.75,38,5.92,13.4,19.8,550,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:12:18.256315,24.3,75.74000000000001,41.0,45.75,38,5.89,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:12:19.567711,24.3,75.74000000000001,41.0,45.85,39,5.83,13.2,19.8,552,39,54,109,off,off,off,on,off,0,on
