received_timestamp,sent_timestamp,latency_ms
22:25:51.153,22:25:49.113,2040
22:25:53.040,22:25:51.009,2031
22:25:55.334,22:25:52.993,2341
22:25:57.307,22:25:54.922,2385
22:25:59.909,22:25:56.998,2911
22:26:01.022,22:25:59.120,1902
22:26:03.531,22:26:00.943,2588
22:26:05.606,22:26:03.070,2536
22:26:07.415,22:26:04.956,2459
22:26:09.356,22:26:06.939,2417
22:26:10.968,22:26:08.946,2021
22:26:13.286,22:26:10.929,2357
22:26:15.205,22:26:13.114,2091
22:26:17.407,22:26:14.996,2411
22:26:19.529,22:26:17.124,2405
22:26:21.516,22:26:19.056,2460
22:26:23.707,22:26:21.061,2646
22:26:25.657,22:26:22.947,2710
22:26:27.551,22:26:24.921,2630
22:26:29.954,22:26:27.121,2833
22:26:31.108,22:26:29.060,2048
22:26:33.216,22:26:31.055,2161
22:26:35.722,22:26:33.075,2647
22:26:37.814,22:26:35.002,2812
22:26:39.198,22:26:37.018,2180
22:26:41.400,22:26:39.015,2385
22:26:43.671,22:26:40.982,2689
22:26:45.701,22:26:43.126,2575
22:26:48.072,22:26:45.055,3017
22:26:48.912,22:26:46.948,1964
22:26:51.704,22:26:49.034,2670
22:26:53.587,22:26:51.155,2432
22:26:55.727,22:26:53.107,2620
22:26:57.785,22:26:54.992,2793
22:26:59.936,22:26:56.946,2990
22:27:01.525,22:26:58.930,2595
22:27:03.626,22:27:00.991,2635
22:27:06.129,22:27:03.110,3019
22:27:07.332,22:27:05.060,2272
22:27:09.886,22:27:07.110,2776
22:27:11.313,22:27:09.030,2283
22:27:13.705,22:27:10.992,2713
22:27:16.105,22:27:13.112,2993
22:27:17.128,22:27:15.077,2051
22:27:19.245,22:27:17.134,2111
22:27:21.530,22:27:19.051,2479
22:27:24.086,22:27:20.981,3105
22:27:25.775,22:27:23.109,2666
22:27:27.858,22:27:25.061,2797
22:27:29.122,22:27:26.994,2128
22:27:32.034,22:27:28.949,3085
22:27:33.378,22:27:31.056,2322
22:27:35.299,22:27:33.115,2184
22:27:37.826,22:27:35.097,2729
22:27:39.192,22:27:37.037,2155
22:27:41.532,22:27:39.026,2506
22:27:43.858,22:27:40.986,2872
22:27:45.549,22:27:42.987,2562
22:27:47.867,22:27:44.990,2877
22:27:49.579,22:27:46.932,2647
22:27:51.984,22:27:48.984,3000
22:27:53.419,22:27:51.122,2297
22:27:55.618,22:27:52.940,2678
22:27:58.116,22:27:55.086,3030
22:27:59.421,22:27:56.959,2462
22:28:01.736,22:27:58.972,2764
22:28:03.957,22:28:00.928,3029
22:28:05.541,22:28:03.094,2447
22:28:07.064,22:28:05.088,1976
22:28:09.900,22:28:06.985,2915
22:28:11.065,22:28:09.091,1974
22:28:13.556,22:28:11.102,2454
22:28:15.855,22:28:12.925,2930
22:28:17.320,22:28:15.069,2251
22:28:19.786,22:28:17.090,2696
22:28:21.300,22:28:18.917,2383
22:28:23.805,22:28:20.917,2888
22:28:26.031,22:28:23.026,3005
22:28:27.698,22:28:25.054,2644
22:28:29.765,22:28:27.018,2747
22:28:31.904,22:28:29.020,2884
22:28:33.679,22:28:30.974,2705
22:28:35.556,22:28:33.033,2523
22:28:37.519,22:28:34.903,2616
22:28:40.127,22:28:37.106,3021
22:28:41.509,22:28:38.986,2523
22:28:43.540,22:28:41.011,2529
22:28:45.598,22:28:42.904,2694
22:28:47.321,22:28:45.092,2229
22:28:49.923,22:28:46.974,2949
22:28:51.406,22:28:48.917,2489
22:28:53.551,22:28:50.960,2591
22:28:55.967,22:28:53.118,2849
22:28:57.354,22:28:55.090,2264
22:28:59.597,22:28:57.117,2480
22:29:01.200,22:28:59.083,2117
22:29:03.752,22:29:01.108,2644
22:29:05.658,22:29:03.031,2627
22:29:07.530,22:29:04.967,2563
22:29:09.520,22:29:06.893,2627
22:29:11.670,22:29:09.146,2524
22:29:13.626,22:29:11.035,2591
22:29:15.642,22:29:12.894,2748
22:29:17.377,22:29:14.939,2438
22:29:19.515,22:29:17.099,2416
22:29:21.256,22:29:19.034,2222
22:29:23.317,22:29:21.106,2211
22:29:27.404,22:29:24.915,2489
22:29:29.301,22:29:27.030,2271
22:29:31.412,22:29:28.964,2448
22:29:33.557,22:29:31.095,2462
22:29:35.696,22:29:33.062,2634
22:29:37.515,22:29:35.009,2506
22:29:39.357,22:29:36.986,2371
22:29:41.559,22:29:39.090,2469
22:29:43.531,22:29:41.093,2438
22:29:45.302,22:29:43.096,2206
22:29:47.300,22:29:44.891,2409
22:29:49.379,22:29:47.087,2292
22:29:51.575,22:29:49.104,2471
22:29:53.694,22:29:51.016,2678
22:29:55.703,22:29:52.907,2796
22:29:57.534,22:29:55.096,2438
22:29:59.393,22:29:57.050,2343
22:30:01.523,22:29:58.962,2561
22:30:03.715,22:30:01.095,2620
22:30:05.809,22:30:02.967,2842
22:30:07.355,22:30:04.969,2386
22:30:09.652,22:30:06.971,2681
22:30:11.744,22:30:09.006,2738
22:30:13.939,22:30:10.895,3044
22:30:15.629,22:30:13.144,2485
22:30:17.931,22:30:14.937,2994
22:30:19.671,22:30:17.140,2531
22:30:21.676,22:30:19.100,2576
22:30:23.941,22:30:21.058,2883
22:30:25.559,22:30:23.043,2516
22:30:27.520,22:30:25.079,2441
22:30:29.195,22:30:27.017,2178
22:30:31.548,22:30:28.988,2560
22:30:33.787,22:30:31.141,2646
22:30:35.257,22:30:33.099,2158
22:30:37.306,22:30:34.893,2413
22:30:39.186,22:30:37.007,2179
22:30:41.425,22:30:38.864,2561
22:30:43.537,22:30:41.081,2456
22:30:45.655,22:30:43.025,2630
22:30:47.866,22:30:45.128,2738
22:30:49.577,22:30:47.068,2509
22:30:51.526,22:30:49.134,2392
22:30:53.231,22:30:51.085,2146
22:30:54.935,22:30:53.027,1908
22:30:57.168,22:30:54.977,2191
22:30:59.314,22:30:57.023,2291
22:31:01.280,22:30:58.934,2346
22:31:03.122,22:31:00.926,2196
22:31:05.525,22:31:02.877,2648
22:31:07.551,22:31:05.116,2435
22:31:09.324,22:31:06.908,2416
22:31:11.083,22:31:09.127,1956
22:31:13.325,22:31:11.132,2193
22:31:15.429,22:31:13.012,2417
22:31:17.424,22:31:14.958,2466
22:31:19.512,22:31:17.137,2375
22:31:21.530,22:31:19.047,2483
22:31:23.371,22:31:21.014,2357
22:31:25.551,22:31:22.945,2606
22:31:27.533,22:31:24.942,2591
22:31:29.537,22:31:27.089,2448
22:31:31.287,22:31:29.066,2221
22:31:33.172,22:31:30.935,2237
22:31:35.543,22:31:33.084,2459
22:31:37.560,22:31:35.038,2522
22:31:39.227,22:31:36.901,2326
22:31:41.844,22:31:38.871,2973
22:31:43.523,22:31:41.047,2476
22:31:45.257,22:31:43.032,2225
22:31:47.719,22:31:45.019,2700
22:31:50.015,22:31:46.923,3092
22:31:51.355,22:31:48.917,2438
22:31:52.865,22:31:50.984,1881
22:31:55.735,22:31:53.010,2725
22:31:57.127,22:31:55.134,1993
22:31:59.746,22:31:57.123,2623
22:32:01.575,22:31:59.009,2566
22:32:03.340,22:32:01.010,2330
22:32:05.998,22:32:02.995,3003
22:32:07.391,22:32:05.133,2258
22:32:09.536,22:32:06.926,2610
22:32:11.349,22:32:09.059,2290
22:32:13.946,22:32:10.959,2987
22:32:15.364,22:32:13.124,2240
22:32:17.627,22:32:14.908,2719
22:32:19.561,22:32:17.126,2435
22:32:21.527,22:32:19.064,2463
22:32:23.835,22:32:21.018,2817
22:32:27.287,22:32:24.942,2345
22:32:29.571,22:32:26.879,2692
22:32:31.416,22:32:29.061,2355
22:32:33.677,22:32:31.056,2621
22:32:35.610,22:32:33.057,2553
22:32:38.056,22:32:34.928,3128
22:32:39.441,22:32:37.133,2308
22:32:40.953,22:32:38.935,2017
22:32:42.736,22:32:41.017,1719
22:32:44.944,22:32:43.038,1906
22:32:46.747,22:32:45.110,1637
22:32:48.700,22:32:47.131,1569
22:32:50.893,22:32:49.099,1794
22:32:52.867,22:32:51.100,1767
22:32:54.951,22:32:53.113,1838
22:32:56.667,22:32:55.161,1506
22:32:58.943,22:32:56.959,1984
22:33:00.666,22:32:58.969,1697
22:33:02.660,22:33:01.059,1601
22:33:04.938,22:33:03.078,1860
22:33:06.595,22:33:05.030,1565
22:33:09.527,22:33:07.047,2480
22:33:10.758,22:33:09.105,1653
22:33:12.810,22:33:10.961,1849
22:33:15.418,22:33:13.002,2416
